genotype_confirmation,physical_id,mouseline,birthdate,deathdate,gender,genotype,phenotype,project_title,purpose,sacrificer,comment
Confirmed,6438A07,Hogan/Mc1-1,15/5/2017,26/7/2017,Female,"Hogan(+/+), Mcl-1(fl/+)",Full Grown,Mcl-1 Project,Harvest (Back and Front Skin),Shih Han,"5 June 2017: On TAM Feed / 8 Jun'17: Shaved the Back Hair and on TAM (5 days TAM, 2 days Normal) / 26 Jul'17: Harvested Back and Front Skin"
Confirmed,5604A01,Hogan/Gli1/Gli2,16/5/2017,26/7/2017,Male,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/fl)",Paritally Naked,Gli1/Gli2 Project,Harvest (Back and Front Skin),Shih Han,"5 June 2017: On TAM Feed / 8 Jun'17: Shaved the Back Hair and on TAM (5 days TAM, 2 days Normal) / 26 Jul'17: Harvested Back and Front Skin"
Confirmed,5604A02,Hogan/Gli1/Gli2,16/5/2017,26/7/2017,Male,"Hogan(+/+), Gli1(KI/KI), Gli2(fl/+)",Full Grown,Gli1/Gli2 Project,Harvest (Back and Front Skin),Shih Han,"5 June 2017: On TAM Feed / 8 Jun'17: Shaved the Back Hair and on TAM (5 days TAM, 2 days Normal) / 26 Jul'17: Harvested Back and Front Skin"
Confirmed,5604A03,Hogan/Gli1/Gli2,16/5/2017,26/7/2017,Male,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/+)",Full Grown,Gli1/Gli2 Project,Harvest (Back and Front Skin),Shih Han,"5 June 2017: On TAM Feed / 8 Jun'17: Shaved the Back Hair and on TAM (5 days TAM, 2 days Normal) / 26 Jul'17: Harvested Back and Front Skin"
Confirmed,5604A04,Hogan/Gli1/Gli2,16/5/2017,26/7/2017,Male,"Hogan(+/+), Gli1(KI/KI), Gli2(fl/+)",Full Grown,Gli1/Gli2 Project,Harvest (Back and Front Skin),Shih Han,"5 June 2017: On TAM Feed / 8 Jun'17: Shaved the Back Hair and on TAM (5 days TAM, 2 days Normal) / 26 Jul'17: Harvested Back and Front Skin"
Confirmed,5604A05,Hogan/Gli1/Gli2,16/5/2017,26/7/2017,Male,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/fl)",Naked,Gli1/Gli2 Project,Harvest (Back and Front Skin),Shih Han,"5 June 2017: On TAM Feed / 8 Jun'17: Shaved the Back Hair and on TAM (5 days TAM, 2 days Normal) / 26 Jul'17: Harvested Back and Front Skin"
Confirmed,5604A06,Hogan/Gli1/Gli2,16/5/2017,26/7/2017,Male,"Hogan(+/+), Gli1(KI/KI), Gli2(fl/+)",Full Grown,Gli1/Gli2 Project,Harvest (Back and Front Skin),Shih Han,"5 June 2017: On TAM Feed / 8 Jun'17: Shaved the Back Hair and on TAM (5 days TAM, 2 days Normal) / 26 Jul'17: Harvested Back and Front Skin"
Confirmed,5604B14,Hogan/Gli1/Gli2,19/5/2017,26/7/2017,Female,"Hogan(+/+), Gli1(KI/KI), Gli2(fl/+)",Full Grown,Gli1/Gli2 Project,Harvest (Back and Front Skin),Shih Han,9 Jun'17: On TAM Feed/ 12 Jun'17: Shaved the Back Hair / 26 Jul'17: Harvested Back and Front Skin
Confirmed,5604B17,Hogan/Gli1/Gli2,19/5/2017,26/7/2017,Female,"Hogan(+/+), Gli1(KI/KI), Gli2(fl/fl)",Full Grown,Gli1/Gli2 Project,Harvest (Back and Front Skin),Shih Han,9 Jun'17: On TAM Feed/ 12 Jun'17: Shaved the Back Hair / 26 Jul'17: Harvested Back and Front Skin
Confirmed,5604B18,Hogan/Gli1/Gli2,19/5/2017,26/7/2017,Female,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/fl)",Naked,Gli1/Gli2 Project,Harvest (Back and Front Skin),Shih Han,9 Jun'17: On TAM Feed/ 12 Jun'17: Shaved the Back Hair / 26 Jul'17: Harvested Back and Front Skin
Confirmed,5604B19,Hogan/Gli1/Gli2,19/5/2017,26/7/2017,Female,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/fl)",Naked,Gli1/Gli2 Project,Harvest (Back and Front Skin),Shih Han,9 Jun'17: On TAM Feed/ 12 Jun'17: Shaved the Back Hair / 26 Jul'17: Harvested Back and Front Skin
Confirmed,5604B20,Hogan/Gli1/Gli2,19/5/2017,26/7/2017,Female,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/+)",Partial Naked,Gli1/Gli2 Project,Harvest (Back and Front Skin),Shih Han,9 Jun'17: On TAM Feed/ 12 Jun'17: Shaved the Back Hair / 26 Jul'17: Harvested Back and Front Skin
"Hogan(+/+), Mcl-1(fl/fl)",7141A02,Hogan/Mc1-1,27/5/2017,26/7/2017,Female,"Hogan(+/+), Mcl-1(+/+)",Full Grown,MCl-1 Project,Harvest (Back and Front Skin),Shih Han,16 Jun'17: Begin TAM Feed / 19 Jun'17: Shaved Hair / 26 Jul'17: Harvested Back and Front Skin
Confirmed,7141A04,Hogan/Mc1-1,27/5/2017,26/7/2017,Female,"Hogan(KI/+), Mcl-1(fl/+)",Full Grown,MCl-1 Project,Harvest (Back and Front Skin),Shih Han,16 Jun'17: Begin TAM Feed / 19 Jun'17: Shaved Hair / 26 Jul'17: Harvested Back and Front Skin
Confirmed,7126A01,Gli1/Kai/MCl-1/TOMATO,27/6/2017,17/8/2017,Female,"Gli1(KI/KI), Kai(+/+), Mcl-1(fl/+), Tomato(KI/+)",N/A,Gli1/MCl-1 Project,FACS (Skin),Hui San,
Confirmed,7126A03,Gli1/Kai/MCl-1/TOMATO,27/6/2017,17/8/2017,Female,"Gli1(KI/KI), Kai(T/+), Mcl-1(fl/+), Tomato(KI/+)",N/A,Gli1/MCl-1 Project,FACS (Skin),Hui San,
Confirmed,7126A05,Gli1/Kai/MCl-1/TOMATO,27/6/2017,17/8/2017,Female,"Gli1(KI/+), Kai(T/+), Mcl-1(fl/+), Tomato(KI/KI)",N/A,Gli1/MCl-1 Project,FACS (Skin),Hui San,
Confirmed,7126A06,Gli1/Kai/MCl-1/TOMATO,27/6/2017,17/8/2017,Female,"Gli1(KI/KI), Kai(T/+), Mcl-1(fl/fl), Tomato(KI/KI)",N/A,Gli1/MCl-1 Project,FACS (Skin),Hui San,
Confirmed,6442A04,Gli1-rttA-GFP,20/5/2017,17/8/2017,Male,Gli1(KI/KI),N/A,Gli1/MCl-1 Project,FACS (Skin)-Control,Hui San,
Confirmed,4885D06,Lgr5/TOM,13/1/2017,22/8/2017,Female,"Lgr5(T/+), TOM(T/+)",Unknown Tumor,Liver Tumor Project,Harvest (Liver and Small Intestine),Shih Han,"On DOX food since 7 Feb 2017 /22 Aug'17: Harvested S.I, Skin, Liver and Pancreas. There was an unknown tumor found around the neck area which can be seen very easily from outside. No other tumor found in the mouse but stomach and intestinal tract were bloated with air. Freeze down the unknown tumor and Liver."
Confirmed,4885D08,Lgr5/TOM,13/1/2017,22/8/2017,Female,"Lgr5(T/+), TOM(T/+)",Found dead before Harvesting,Liver Tumor Project,Harvest (Liver and Small Intestine),Shih Han,"On DOX food since 7 Feb 2017 / 22 Aug'17: Found dead during harvesting, but the body remains soft, hence harvested tissues. Harvested for S.I, Skin and Liver. Entire abdominal turns dark and was unable to harvest the tissues properly. Unable to find Pancreas."
Confirmed,7103C01,Hogan/Mc1-1,20/7/2017,25/8/2017,Male,"Hogan(+/+), Mcl-1(+/+)",N/A,MCl-1 Project,Harvest (Back and Front Skin),Shih Han,21 Aug'17: On TAM / 25 Aug'17: Harvested Skin for FACS
Confirmed,7103C02,Hogan/Mc1-1,20/7/2017,25/8/2017,Male,"Hogan(KI/+), Mcl-1(fl/fl)",N/A,MCl-1 Project,Harvest (Back and Front Skin),Shih Han,21 Aug'17: On TAM / 25 Aug'17: Harvested Skin for FACS
Confirmed,7103C20,Hogan/Mc1-1,20/7/2017,25/8/2017,Male,"Hogan(KI/+), Mcl-1(fl/+)",N/A,MCl-1 Project,Harvest (Back and Front Skin),Shih Han,21 Aug'17: On TAM / 25 Aug'17: Harvested Skin for FACS
Confirmed,8088B11,Krt5/Mcl-1,27/8/2017,7/9/2017,Male,"Krt5(T/+), Mcl-1(fl/fl)",Full Grown,MCl-1 Project,Harvest (Skin),Shih Han,"7 Sept'17: Harvested Skin for IHC. All were found with hair, have to re-genotype to confirm the KO mice. / 8 Sept'17 Genotype Confirmed"
Confirmed,8088B12,Krt5/Mcl-1,27/8/2017,7/9/2017,Male,"Krt5(T/+), Mcl-1(fl/fl)",Full Grown,MCl-1 Project,Harvest (Skin),Shih Han,"7 Sept'17: Harvested Skin for IHC. All were found with hair, have to re-genotype to confirm the KO mice. / 8 Sept'17 Genotype Confirmed"
Confirmed,8088B14,Krt5/Mcl-1,27/8/2017,7/9/2017,Female,"Krt5(+/+), Mcl-1(fl/fl)",Full Grown,MCl-1 Project,Harvest (Skin),Shih Han,"7 Sept'17: Harvested Skin for IHC. All were found with hair, have to re-genotype to confirm the KO mice. / 8 Sept'17 Genotype Confirmed"
Confirmed,8088B17,Krt5/Mcl-1,27/8/2017,7/9/2017,Female,"Krt5(T/+), Mcl-1(fl/+)",Full Grown,MCl-1 Project,Harvest (Skin),Shih Han,"7 Sept'17: Harvested Skin for IHC. All were found with hair, have to re-genotype to confirm the KO mice. / 8 Sept'17 Genotype Confirmed"
Confirmed,8088B18,Krt5/Mcl-1,27/8/2017,7/9/2017,Female,"Krt5(T/+), Mcl-1(fl/fl)",Full Grown,MCl-1 Project,Harvest (Skin),Shih Han,"7 Sept'17: Harvested Skin for IHC. All were found with hair, have to re-genotype to confirm the KO mice. / 8 Sept'17 Genotype Confirmed"
Confirmed,7103B09,Hogan/Mc1-1,19/6/2017,7/9/2017,Female,"Hogan(+/+), Mcl-1(fl/+)",Full Grown,MCl-1 Project,Harvest (Back and Front Skin),Shih Han,17 Jul'17: On TAM/ 20 Jul'17: Shave / 18 Aug'17: Stop TAM / 7 Sept: Harvested Front and Back Skin / 8 Sept'17 Genotype Confirmed
Confirmed,7103B10,Hogan/Mc1-1,19/6/2017,7/9/2017,Female,"Hogan(KI/+), Mcl-1(fl/fl)",Partial Naked,MCl-1 Project,Harvest (Back and Front Skin),Shih Han,17 Jul'17: On TAM/ 20 Jul'17: Shave / 18 Aug'17: Stop TAM / 7 Sept: Harvested Front and Back Skin / 8 Sept'17 Genotype Confirmed
Confirmed,4883A13,Lgr5/TetO-Neu,24/12/2016,19/9/2017,Male,"Lgr5(T/+), TetONeu(T/+)",Liver Tumor,Liver Tumor Project,Harvest (Liver and Small Intestine),"Alex, Shih Han","On DOX Food from 12/01/2017 / 8 Sept'17: Tumor found in the abdominal / 19 Sept'17: Harvested Tumor Liver, Normal Liver, Pancreas and Small Intestine. Freeze down: Tumor Liver and Normal Liver"
Confirmed,3760A20,Lgr5/TetO-Neu,29/12/2016,19/9/2017,Female,"Lgr5(T/+), TetONeu(T/+)",Liver Tumor,Liver Tumor Project,Harvest (Liver and Small Intestine),"Alex, Shih Han","On DOX Food from 17 Jan 2017. / 8 Sept'17: Tumor found in the abdominal / 19 Sept'17: Harvested Tumor Liver, Normal Liver, Pancreas and Small Intestine. Freeze down: Tumor Liver and Normal Liver"
Confirmed,3760B05,Lgr5/TetO-Neu,25/1/2017,19/9/2017,Male,"Lgr5(T/+), TetONeu(T/+)",Liver Tumor,Liver Tumor Project,Harvest (Liver and Small Intestine),"Alex, Shih Han","On DOX Food from 15 Feb 2017 / 8 Sept'17: Tumor found in the abdominal / 19 Sept'17: Harvested Tumor Liver, Normal Liver, Pancreas and Small Intestine. Freeze down: Tumor Liver and Normal Liver"
Confirmed,3760C01,Lgr5/TetO-Neu,5/3/2017,19/9/2017,Female,"Lgr5(T/+), TetONeu(T/+)",Liver Tumor,Liver Tumor Project,Harvest (Liver and Small Intestine),"Alex, Shih Han","27 Mar 2017: On DOX Feed / 8 Sept'17: Tumor found in the abdominal / 19 Sept'17: Harvested Tumor Liver, Normal Liver, Pancreas and Small Intestine. Freeze down: Tumor Liver and Normal Liver"
Confirmed,7103A02,Hogan/Mc1-1,13/6/2017,19/9/2017,Female,"Hogan(+/+), Mcl-1(fl/+)",Partial Naked,MCl-1 Project,Harvest (Back and Front Skin),"Alex, Shih Han",4 Jul'17: Changed to TAM Feed/ 7 Jul'17: Shaved / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,7103A19,Hogan/Mc1-1,13/6/2017,19/9/2017,Female,"Hogan(KI/+), Mcl-1(fl/fl)",Full Grown,MCl-1 Project,Harvest (Back and Front Skin),"Alex, Shih Han",4 Jul'17: Changed to TAM Feed/ 7 Jul'17: Shaved / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,7103A20,Hogan/Mc1-1,13/6/2017,19/9/2017,Female,"Hogan(KI/+), Mcl-1(+/+)",Full Grown,MCl-1 Project,Harvest (Back and Front Skin),"Alex, Shih Han",4 Jul'17: Changed to TAM Feed/ 7 Jul'17: Shaved / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,7103B03,Hogan/Mc1-1,19/6/2017,19/9/2017,Male,"Hogan(+/+), Mcl-1(fl/+)",Full Grown,MCl-1 Project,Harvest (Back and Front Skin),"Alex, Shih Han",17 Jul'17: On TAM/ 20 Jul'17: Shave / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,7103B04,Hogan/Mc1-1,19/6/2017,19/9/2017,Male,"Hogan(+/+), Mcl-1(fl/+)",Full Grown,MCl-1 Project,Harvest (Back and Front Skin),"Alex, Shih Han",17 Jul'17: On TAM/ 20 Jul'17: Shave / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,7103B05,Hogan/Mc1-1,19/6/2017,19/9/2017,Male,"Hogan(KI/+), Mcl-1(fl/fl)",Partial Naked,MCl-1 Project,Harvest (Back and Front Skin),"Alex, Shih Han",17 Jul'17: On TAM/ 20 Jul'17: Shave / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,7103B06,Hogan/Mc1-1,19/6/2017,19/9/2017,Male,"Hogan(KI/+), Mcl-1(fl/+)",Partial Naked,MCl-1 Project,Harvest (Back and Front Skin),"Alex, Shih Han",17 Jul'17: On TAM/ 20 Jul'17: Shave / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,7103B07,Hogan/Mc1-1,19/6/2017,19/9/2017,Male,"Hogan(KI/+), Mcl-1(fl/+)",Partial Naked,MCl-1 Project,Harvest (Back and Front Skin),"Alex, Shih Han",17 Jul'17: On TAM/ 20 Jul'17: Shave / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,7103B08,Hogan/Mc1-1,19/6/2017,19/9/2017,Male,"Hogan(KI/+), Mcl-1(fl/fl)",Partial Naked,MCl-1 Project,Harvest (Back and Front Skin),"Alex, Shih Han",17 Jul'17: On TAM/ 20 Jul'17: Shave / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,5604E07,Hogan/Gli1/Gli2,28/6/2017,19/9/2017,Female,"Hogan(+/+), Gli1(KI/KI), Gli2(fl/fl)",Full Grown,Gli1/Gli2 Project,Harvest (Back and Front Skin),"Alex, Shih Han",18 Jul'17: On TAM / 21 Jul'17: Shaved / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,5604E08,Hogan/Gli1/Gli2,28/6/2017,19/9/2017,Female,"Hogan(+/+), Gli1(KI/KI), Gli2(fl/fl)",Full Grown,Gli1/Gli2 Project,Harvest (Back and Front Skin),"Alex, Shih Han",18 Jul'17: On TAM / 21 Jul'17: Shaved / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,5604E09,Hogan/Gli1/Gli2,28/6/2017,19/9/2017,Female,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/+)",Full Grown,Gli1/Gli2 Project,Harvest (Back and Front Skin),"Alex, Shih Han",18 Jul'17: On TAM / 21 Jul'17: Shaved / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,5604E10,Hogan/Gli1/Gli2,28/6/2017,19/9/2017,Female,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/fl)",Partial Naked,Gli1/Gli2 Project,Harvest (Back and Front Skin),"Alex, Shih Han","18 Jul'17: On TAM / 21 Jul'17: Shaved / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin, plus 1 Back and 1 Front Skin with NO hair"
Confirmed,5604E11,Hogan/Gli1/Gli2,28/6/2017,19/9/2017,Female,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/fl)",Parital Naked,Gli1/Gli2 Project,Harvest (Back and Front Skin),"Alex, Shih Han","18 Jul'17: On TAM / 21 Jul'17: Shaved / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin,  plus 1 Back Skin with NO hair"
Confirmed,5604E12,Hogan/Gli1/Gli2,28/6/2017,19/9/2017,Female,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/fl)",Partial Naked,Gli1/Gli2 Project,Harvest (Back and Front Skin),"Alex, Shih Han",18 Jul'17: On TAM / 21 Jul'17: Shaved / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,5604E13,Hogan/Gli1/Gli2,28/6/2017,19/9/2017,Female,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/fl)",Naked,Gli1/Gli2 Project,Harvest (Back and Front Skin),"Alex, Shih Han",18 Jul'17: On TAM / 21 Jul'17: Shaved / 18 Aug'17: Stop TAM / 19 Sept'17: Harvested Back and Front Skin
Confirmed,6573A03,Krt5/Gli1/Gli2,13/8/2017,19/9/2017,Male,"Krt5(+/+), Gli1(KI/KI), Gli2(fl/+)",Full Grown,Gli1/Gli2 Project,Harvest (Skin),"Alex, Shih Han",19 Sept'17: Harvested Back and Front Skin
Confirmed,6573A04,Krt5/Gli1/Gli2,13/8/2017,19/9/2017,Male,"Krt5(T/+), Gli1(KI/KI), Gli2(fl/fl)",Naked,Gli1/Gli2 Project,Harvest (Skin),"Alex, Shih Han",Naked /19 Sept'17: Harvested Back and Front Skin
Confirmed,6573A05,Krt5/Gli1/Gli2,13/8/2017,19/9/2017,Female,"Krt5(T/+), Gli1(KI/KI), Gli2(fl/fl)",Naked,Gli1/Gli2 Project,Harvest (Skin),"Alex, Shih Han",Naked/ 19 Sept'17: Harvested Back and Front Skin
Confirmed,6573A06,Krt5/Gli1/Gli2,13/8/2017,19/9/2017,Female,"Krt5(+/+), Gli1(KI/KI), Gli2(fl/+)",Full Grown,Gli1/Gli2 Project,Harvest (Skin),"Alex, Shih Han",19 Sept'17: Harvested Back and Front Skin
Confirmed,6573A07,Krt5/Gli1/Gli2,13/8/2017,19/9/2017,Female,"Krt5(+/+), Gli1(KI/KI), Gli2(fl/+)",Full Grown,Gli1/Gli2 Project,Harvest (Skin),"Alex, Shih Han",19 Sept'17: Harvested Back and Front Skin
Confirmed,7566A11,Gli1/Kai/MCl-1/TOMATO,27/6/2017,25/9/2017,Female,"Gli1(KI/+), Kai(T/+), Mcl-1(+/+), Tomato(KI/KI)",N/A,Gli1/MCl-1 Project,,Hui San,21 Sept'17: Begin DOX /25 Sept'17: Harvested skin for FACS (Optimisation)
Confirmed,7566A12,Gli1/Kai/MCl-1/TOMATO,27/6/2017,25/9/2017,Female,"Gli1(KI/+), Kai(+/+), Mcl-1(fl/+), Tomato(KI/+)",N/A,Gli1/MCl-1 Project,,Hui San,21 Sept'17: Begin DOX /25 Sept'17: Harvested skin for FACS (Optimisation)
Confirmed,7566A13,Gli1/Kai/MCl-1/TOMATO,27/6/2017,25/9/2017,Female,"Gli1(KI/+), Kai(T/+), Mcl-1(fl/+), Tomato(KI/KI)",N/A,Gli1/MCl-1 Project,,Hui San,21 Sept'17: Begin DOX /25 Sept'17: Harvested skin for FACS (Optimisation)
,4469E01,Lgr5-rttA-GFP,24/6/2017,3/10/2017,Male,Lgr5(T/+),N/A,Liver Perfusion,,Alex,Founder #28/Liver Perfusion
Confirmed,4466D18,Lgr5-rttA-GFP,4/7/2017,3/10/2017,Male,Lgr5(+/+),N/A,Liver Tumor Project,,Shih Han,Founder #28 / 3 Oct'17: Harvested Liver and S.I
Confirmed,4466D17,Lgr5-rttA-GFP,4/7/2017,3/10/2017,Male,Lgr5(T/+),N/A,Liver Tumor Project,,Shih Han,Founder #28 / 3 Oct'17: Harvested Liver and S.I
Confirmed,6668B01,Lgr5-rttA-GFP,27/7/2017,3/10/2017,Male,Lgr5(T/+),N/A,Liver Tumor Project,,Shih Han,Founder #25 /Reserved for IHC / 3 Oct'17: Harvested Liver and S.I
Confirmed,6668B02,Lgr5-rttA-GFP,27/7/2017,3/10/2017,Male,Lgr5(T/+),N/A,Liver Tumor Project,,Shih Han,Founder #25 /Reserved for IHC / 3 Oct'17: Harvested Liver and S.I
Confirmed,7048A04,Lgr5/TOM,3/9/2017,3/10/2017,Female,"Lgr5(+/+), TOM(T/+)",Normal,Liver Tumor Project,Harvest (Liver and Small Intestine),Shih Han,27 Sept'17: Begin DOX / 3 Oct'17: Harvested Liver and Small Intestine
Confirmed,7048B17,Lgr5/TOM,6/9/2017,3/10/2017,Female,"Lgr5(T/+), TOM(T/+)",Normal,Liver Tumor Project,Harvest (Liver and Small Intestine),Shih Han,27 Sept'17: Begin DOX / 3 Oct'17: Harvested Liver and Small Intestine
Confirmed,7048B18,Lgr5/TOM,6/9/2017,3/10/2017,Female,"Lgr5(T/+), TOM(T/+)",Normal,Liver Tumor Project,Harvest (Liver and Small Intestine),Shih Han,27 Sept'17: Begin DOX / 3 Oct'17: Harvested Liver and Small Intestine
Confirmed,7048B19,Lgr5/TOM,6/9/2017,3/10/2017,Female,"Lgr5(T/+), TOM(T/+)",Normal,Liver Tumor Project,Harvest (Liver and Small Intestine),Shih Han,27 Sept'17: Begin DOX / 3 Oct'17: Harvested Liver and Small Intestine
Confirmed,4885B12,Lgr5/TOM,8/12/2016,4/10/2017,Female,"Lgr5(T/+), TOM(T/+)",Unknown Tumor,Liver Tumor Project,Harvest (Liver and Small Intestine),"Alex, Shih Han","On DOX Food from 16 Feb 2017/ 4 Oct'17: Harvested Liver, S.I and Unknown Tumor suspected to be from Ovary. Freeze Down: Liver. The mice has lot of Fat and Liver appear to be Normal. However, the internal organs, mostly Fat appear to have Dark Material on it. There was 1 very Huge Bulb filled with Black Liquid which during Harvest, Black liquid flow out from it upon cutting out the Bulb. Suspected it to be from the womb as there was a missing portion of the womb during cutting."
Confirmed,4123E02,Lgr5/TetO-Neu,31/12/2016,4/10/2017,Male,"Lgr5(T/+), TetONeu(T/+)",Liver Tumor (Early Stage),Liver Tumor Project,Harvest (Liver and Small Intestine),"Alex, Shih Han","On DOX Food since 24 Jan 2017 / 4 Oct'17: Harvested S.I, Liver and Liver with Tumor. Freeze down: Normal Liver(NL), and Liver Tumor(TL). Seem to be at the Early stage of Liver Cancer as some Normal Liver still can be found. Blood clot was observed in the abdominal as usual."
Confirmed,4123E08,Lgr5/TetO-Neu,31/12/2016,4/10/2017,Female,"Lgr5(T/+), TetONeu(T/+)",Liver Tumor,Liver Tumor Project,Harvest (Liver and Small Intestine),"Alex, Shih Han","On DOX Food since 24 Jan 2017 / 4 Oct'17: Harvested S.I, Liver and Liver with Tumor. Freeze down: Normal Liver(NL), and Liver Tumor(TL). Blood clot was observed in the abdominal as usual."
Confirmed,3760B01,Lgr5/TetO-Neu,25/1/2017,4/10/2017,Male,"Lgr5(T/+), TetONeu(T/+)",Liver Tumor (Late Stage),Liver Tumor Project,Harvest (Liver and Small Intestine),"Alex, Shih Han","On DOX Food from 15 Feb 2017 / 4 Oct'17: Harvested S.I, Liver and Liver with Tumor. Freeze down: Normal Liver(NL), and Liver Tumor(TL). Tried to find Noraml Liver as most Liver already turnt into Tumor. Blood clot was observed in the abdominal as usual."
Confirmed,3760B03,Lgr5/TetO-Neu,25/1/2017,4/10/2017,Male,"Lgr5(+/+), TetONeu(T/+)",Normal,Liver Tumor Project,Harvest (Liver and Small Intestine),"Alex, Shih Han",On DOX Food from 15 Feb 2017 / 4 Oct'17: Harvested S.I and Liver. Freeze down: Normal Liver (NL)
Confirmed,6573A02,Krt5/Gli1/Gli2,13/8/2017,4/10/2017,Male,"Krt5(+/+), Gli1(KI/KI), Gli2(fl/+)",Full Grown,Gli1/Gli2 Project,Harvest (Skin),"Alex, Shih Han",4 Oct'17: Harvest Back and Front Skin
Confirmed,6573A19,Krt5/Gli1/Gli2,13/8/2017,4/10/2017,Male,"Krt5(+/+), Gli1(KI/KI), Gli2(fl/+)",Full Grown,Gli1/Gli2 Project,Harvest (Skin),"Alex, Shih Han",4 Oct'17: Harvest Back and Front Skin
Confirmed,8116A11,Prr14 ,25/8/2017,5/10/2017,Female,Prr14(del/del),N/A,Prr14,,Naiyang,5 Oct'17: Harvested Mammary Gland for Staining
Confirmed,8116A12,Prr14 ,25/8/2017,5/10/2017,Female,Prr14(del/+),N/A,Prr14,,Naiyang,5 Oct'17: Harvested Mammary Gland for Staining
Confirmed,7566C06,Gli1/Kai/MCl-1/TOMATO,5/8/2017,9/10/2017,Male,"Gli1(KI/+), Kai(T/+), Mcl-1(fl/fl), Tomato(+/+)",Full Grown,Gli1/MCl-1 Project,,"Shih Han, Hui San",28 Aug'17: On DOX / 30 Aug'17: Shaved / All mice have hair grown back by the end of 1st week of shaving / To be analysis by 8 weeks old /9 Oct'17: Harvested Skin for FACS and IHC
Confirmed,7566C07,Gli1/Kai/MCl-1/TOMATO,5/8/2017,9/10/2017,Male,"Gli1(KI/+), Kai(T/+), Mcl-1(fl/+), Tomato(KI/+)",Full Grown,Gli1/MCl-1 Project,,"Shih Han, Hui San",28 Aug'17: On DOX / 30 Aug'17: Shaved / All mice have hair grown back by the end of 1st week of shaving / To be analysis by 8 weeks old /9 Oct'17: Harvested Skin for FACS and IHC
Confirmed,7566C08,Gli1/Kai/MCl-1/TOMATO,5/8/2017,9/10/2017,Male,"Gli1(KI/+), Kai(T/+), Mcl-1(fl/+), Tomato(KI/KI)",Paritally Naked,Gli1/MCl-1 Project,,"Shih Han, Hui San","28 Aug'17: On DOX / 30 Aug'17: Shaved / All mice have hair grown back by the end of 1st week of shaving / To be analysis by 8 weeks old /9 Oct'17: Harvested Skin for FACS and IHC, appear to be dropping Hair"
"Gli1(KI/KI), Kai(+/+), Mcl-1(fl/+), Tomato(KI/+)",7566C09,Gli1/Kai/MCl-1/TOMATO,5/8/2017,9/10/2017,Male,"Gli1(KI/+), Kai(+/+), Mcl-1(fl/+), Tomato(KI/+)",Full Grown,Gli1/MCl-1 Project,,"Shih Han, Hui San",28 Aug'17: On DOX / 30 Aug'17: Shaved / All mice have hair grown back by the end of 1st week of shaving / To be analysis by 8 weeks old /9 Oct'17: Harvested Skin for FACS and IHC
Confirmed,7048A02,Lgr5/TOM,3/9/2017,9/10/2017,Male,"Lgr5(T/+), TOM(T/+)",Normal,Liver Tumor Project,Harvest (Liver and Small Intestine),Shih Han,25 Sept'17: Begin DOX Feed /9 Oct'17: Harvested Liver and S.I
Confirmed,7048A03,Lgr5/TOM,3/9/2017,9/10/2017,Male,"Lgr5(+/+), TOM(T/+)",Normal,Liver Tumor Project,Harvest (Liver and Small Intestine),Shih Han,25 Sept'17: Begin DOX Feed /9 Oct'17: Harvested Liver and S.I
Confirmed,7048B12,Lgr5/TOM,6/9/2017,11/10/2017,Female,"Lgr5(T/+), TOM(T/+)",Normal,Liver Tumor Project,Harvest (Liver and Small Intestine),"Alex, Shih Han",27 Sept'17: Begin DOX / 11 Oct'17: Harvested Liver and S.I
